epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,928.359,1.86321,4.26102,0.78949,0.82535,0.79639,0.85145,0.44465,1.0218,1.32679,0.52595,0.00333312,0.00333312,0.00333312
2,1842.26,1.76399,1.54694,0.78073,0.84489,0.80196,0.85831,0.45651,1.00629,1.9084,0.52396,0.00633646,0.00633646,0.00633646
3,2742.39,1.76934,1.53156,0.78379,0.81701,0.78975,0.841,0.45866,0.98611,3.01537,0.52603,0.0090098,0.0090098,0.0090098
4,3637.22,1.70533,1.36057,0.7804,0.81089,0.77551,0.83035,0.45439,0.99974,3.85883,0.52684,0.008515,0.008515,0.008515
5,4530.52,1.61175,1.15628,0.77727,0.82058,0.77805,0.83991,0.46612,0.97751,3.83294,0.52596,0.00802,0.00802,0.00802
6,5423.55,1.56139,1.03857,0.77199,0.83059,0.78343,0.84994,0.47697,0.96429,3.54368,0.52435,0.007525,0.007525,0.007525
7,6314.04,1.5158,0.97912,0.76955,0.83516,0.78698,0.85603,0.48364,0.95664,3.37321,0.52301,0.00703,0.00703,0.00703
8,7206.94,1.46743,0.89043,0.76901,0.84223,0.79217,0.86351,0.49043,0.94865,3.11053,0.52143,0.006535,0.006535,0.006535
9,8099.5,1.41882,0.82399,0.76515,0.85062,0.79704,0.87105,0.49691,0.94068,2.79292,0.51966,0.00604,0.00604,0.00604
10,8991.48,1.38565,0.78805,0.76156,0.85908,0.80394,0.8793,0.50296,0.93466,2.30525,0.51801,0.005545,0.005545,0.005545
11,9788.11,1.16626,0.75405,0.63322,0.8728,0.81255,0.88933,0.50913,0.92752,1.64532,0.51675,0.00505,0.00505,0.00505
12,10586.2,1.14322,0.68448,0.63449,0.88362,0.81953,0.89757,0.51586,0.91632,1.26196,0.51539,0.004555,0.004555,0.004555
13,11384.7,1.11892,0.63183,0.62911,0.89327,0.8258,0.90434,0.52422,0.90133,0.99057,0.51402,0.00406,0.00406,0.00406
14,12182.8,1.10863,0.57245,0.63154,0.90125,0.83182,0.91039,0.53517,0.88287,0.80032,0.51253,0.003565,0.003565,0.003565
15,12980.4,1.08237,0.52591,0.62743,0.90747,0.83653,0.91533,0.54608,0.86551,0.67716,0.51117,0.00307,0.00307,0.00307
16,13780.2,1.07524,0.51807,0.6317,0.91222,0.84107,0.9199,0.55607,0.84951,0.58564,0.50993,0.002575,0.002575,0.002575
17,14577,1.04491,0.49017,0.62502,0.91543,0.84594,0.92404,0.56485,0.83508,0.51918,0.50874,0.00208,0.00208,0.00208
18,15375,1.03996,0.46474,0.62826,0.91796,0.85043,0.92747,0.57243,0.82302,0.46773,0.50766,0.001585,0.001585,0.001585
19,16174.2,1.01929,0.47045,0.62734,0.92043,0.85409,0.9303,0.57826,0.81324,0.42819,0.50662,0.00109,0.00109,0.00109
20,16974.3,1.00409,0.43548,0.62411,0.92258,0.85646,0.93281,0.58298,0.80558,0.4013,0.50569,0.000595,0.000595,0.000595
